Company,BBG ticker,Date,Reason,Type,Industry,MarketCapUSD,1M_TR,3M_TR,6M_TR,12M_TR,24M_TR,1M_SXXP,3M_SXXP,6M_SXXP,12M_SXXP,24M_SXXP,1M_ALPHA,3M_ALPHA,6M_ALPHA,12M_ALPHA,24M_ALPHA
discoverIE Group plc (LSE:DSCV),DSCV LN,13-Sep-17,Resignation,Big4 to Big4,Industrial,199,0.029,0.149,0.288,0.229,0.534,0.028,0.028,-0.007,0.021,0.102,0.001,0.121,0.295,0.208,0.432
Electrocomponents plc (LSE:ECM),ECM LN,07-Feb-14,Tender,Big4 to Big4,Industrial,1960,0.036,0.142,-0.066,-0.138,-0.089,0.028,0.048,0.03,0.186,0.068,0.008,0.093,-0.096,-0.324,-0.157
The Edinburgh Investment Trust plc (LSE:EDIN),EDIN LN,25-Jul-19,Not explained,Big4 to Big4,Financial,#N/A N/A,-0.084,0.012,,,,-0.044,0.027,,,,-0.04,-0.016,,,
Man Group plc (LSE:EMG),EMG LN,09-May-14,Tender,Big4 to Big4,Financial,2568,0.053,0.125,0.353,0.894,0.451,0.036,-0.031,0.004,0.219,0.051,0.017,0.156,0.349,0.674,0.401
Experian plc (LSE:EXPN),EXPN LN,20-Jul-16,Resignation,Big4 to Big4,"Consumer, Non-cyclical",16953,0.024,0.08,0.054,0.067,0.368,0.001,0.015,0.073,0.164,0.208,0.023,0.065,-0.019,-0.097,0.159
Experian plc (LSE:EXPN),EXPN LN,11-Sep-15,Resignation,Big4 to Big4,"Consumer, Non-cyclical",16145,0.058,0.105,0.162,0.481,0.517,0.021,0.004,-0.028,0.006,0.142,0.037,0.101,0.19,0.475,0.375
X5 Retail Group N.V. (LSE:FIVE),FIVE LI,13-Nov-15,Tender,Big4 to Big4,"Consumer, Non-cyclical",4724,-0.069,-0.214,-0.047,0.356,1.006,-0.036,-0.152,-0.074,-0.054,0.118,-0.033,-0.062,0.027,0.41,0.888
Fidelity Investment Trust - Fidelity Special Values PLC (LSE:FSV),FSV LN,16-Dec-15,Not explained,Non-Big4 to Big4,Financial,#N/A N/A,-0.063,-0.039,-0.08,0.143,0.296,-0.084,-0.048,-0.085,0.035,0.153,0.021,0.008,0.004,0.108,0.143
Ferrexpo Plc (LSE:FXPO),FXPO LN,03-Jul-19,Not explained,Big4 to Big4,Basic Materials,1460,-0.124,-0.427,,,,-0.036,-0.033,,,,-0.088,-0.394,,,
Ferrexpo Plc (LSE:FXPO),FXPO LN,26-Apr-19,Resignation,Non-Big4 to non-Big4,Basic Materials,1460,0.178,0.393,-0.259,,,-0.029,0.014,0.038,,,0.208,0.379,-0.297,,
Ferrexpo Plc (LSE:FXPO),FXPO LN,25-May-17,Not explained,Big4 to Big4,Basic Materials,977,0.059,0.671,0.521,0.353,0.422,-0.008,-0.04,-0.004,0.03,0.027,0.068,0.711,0.525,0.323,0.395
Ferrexpo Plc (LSE:FXPO),FXPO LN,12-Dec-16,Not explained,Big4 to Big4,Basic Materials,254,-0.089,-0.009,0.331,0.841,0.452,0.026,0.06,0.12,0.144,0.057,-0.115,-0.069,0.212,0.697,0.396
GCP Infrastructure Investments Limited (LSE:GCP),GCP LN,12-Feb-16,Not explained,Big4 to Big4,Financial,#N/A N/A,0.015,0.04,0.136,0.147,0.159,0.1,0.086,0.14,0.218,0.277,-0.085,-0.046,-0.004,-0.071,-0.118
GCP Infrastructure Investments Limited (LSE:GCP),GCP LN,11-Feb-13,Tender,Big4 to Big4,Financial,#N/A N/A,0.022,0.006,0.046,0.087,0.264,0.037,0.086,0.099,0.193,0.391,-0.016,-0.081,-0.053,-0.107,-0.127
G4S plc (LSE:GFS),GFS LN,04-Jun-15,Tender,Big4 to Big4,"Consumer, Non-cyclical",6718,-0.09,-0.164,-0.196,-0.347,0.208,-0.022,-0.096,-0.047,-0.1,0.07,-0.068,-0.068,-0.149,-0.247,0.138
Grafton Group plc (LSE:GFTU),GFTU LN,12-Oct-15,Not explained,Big4 to Big4,"Consumer, Cyclical",2851,-0.044,0.062,0.067,-0.26,0.272,0.032,-0.048,-0.062,-0.03,0.155,-0.075,0.11,0.129,-0.23,0.117
The Go-Ahead Group plc (LSE:GOG),GOG LN,22-Oct-15,Tender,Big4 to Big4,Industrial,1991,0.062,-0.004,0.073,-0.144,-0.26,0.034,-0.082,-0.044,-0.036,0.129,0.029,0.079,0.117,-0.108,-0.389
GlaxoSmithKline plc (LSE:GSK),GSK LN,03-May-18,Tender,Big4 to Big4,"Consumer, Non-cyclical",96115,0.062,0.083,0.044,0.125,,0.014,0.023,-0.038,0.051,,0.048,0.06,0.083,0.074,
Genesis Emerging Markets Fund (LSE:GSS),GSS LN,28-Jun-17,Not explained,Big4 to Big4,Financial,#N/A N/A,0.035,0.015,0.108,0.069,0.2,-0.019,0.006,0.018,0.01,0.069,0.054,0.009,0.09,0.059,0.131
Hays plc (LSE:HAS),HAS LN,09-Nov-16,Tender,Big4 to Big4,"Consumer, Non-cyclical",1897,0.037,0.102,0.27,0.367,0.265,0.048,0.083,0.186,0.186,0.15,-0.011,0.019,0.084,0.181,0.116
Hays plc (LSE:HAS),HAS LN,19-May-16,Tender,Big4 to Big4,"Consumer, Non-cyclical",3078,-0.026,-0.009,0.099,0.331,0.549,-0.02,0.027,0.029,0.212,0.262,-0.006,-0.037,0.07,0.119,0.286
Henderson Far East Income Limited (LSE:HFEL),HFEL LN,13-Feb-13,Tender,Big4 to Big4,Financial,#N/A N/A,0.044,0.076,-0.04,-0.094,0.068,0.028,0.074,0.095,0.189,0.397,0.017,0.002,-0.135,-0.283,-0.329
HgCapital Trust plc (LSE:HGT),HGT LN,10-May-17,Not explained,Non-Big4 to non-Big4,Financial,#N/A N/A,0.014,0.113,0.19,0.298,0.48,-0.008,-0.041,-0.005,0.023,0.02,0.022,0.153,0.196,0.275,0.46
Hargreaves Lansdown plc (LSE:HL.),HL/ LN,30-Jul-13,Tender,Big4 to Big4,Financial,5246,0.034,0.25,0.603,0.118,0.297,-0.004,0.076,0.089,0.174,0.409,0.038,0.174,0.514,-0.057,-0.112
Helical plc (LSE:HLCL),HLCL LN,12-Jul-18,Tender,Non-Big4 to Big4,Financial,538,-0.023,-0.079,-0.036,0.14,,0.006,-0.061,-0.084,0.044,,-0.029,-0.018,0.047,0.096,
Helical plc (LSE:HLCL),HLCL LN,23-Mar-18,Tender,Non-Big4 to Big4,Financial,477,0.104,0.101,0.046,0.063,,0.053,0.072,0.074,0.064,,0.051,0.029,-0.028,-0.001,
Hammerson plc (LSE:HMSO),HMSO LN,25-Apr-17,Tender,Big4 to Big4,Financial,5611,-0.037,-0.028,-0.131,-0.057,-0.388,0.023,-0.003,0.018,0.016,0.079,-0.06,-0.025,-0.149,-0.073,-0.467
