Ticker,AuditorYears,Auditor,Opinion,ISSscore
MUV2 GY Equity,#N/A N/A,KPMG,Unqualified,1
FRE GY Equity,#N/A N/A,KPMG AG,Unqualified,10
SAP GY Equity,17,KPMG,Unqualified,1
MRK GY Equity,24,KPMG AG,Unqualified,5
FERG LN Equity,4,Deloitte LLP,Unqualified,#N/A N/A
ADS GY Equity,#N/A N/A,KPMG AG,Unqualified,1
DTE GY Equity,23,PRICEWATERHOUSECOOPERS GMBH,Unqualified,1
DPW GY Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
FME GY Equity,23,KPMG AG,Unqualified,10
ZAL GY Equity,9,ERNST & YOUNG WIRTSCHAFTS,Unqualified,5
DAI GY Equity,#N/A N/A,KPMG AG,Unqualified,10
TKA GY Equity,6,PRICEWATERHOUSECOOPERS GMBH,Unqualified,1
IFX GY Equity,19,KPMG AG,Not audited,1
DB1 GY Equity,18,KPMG AG,Unqualified,10
SSPG LN Equity,13,KPMG LLP,Unqualified,1
HNR1 GY Equity,26,PRICEWATERHOUSE COOPERS,Unqualified,1
CON GY Equity,#N/A N/A,KPMG AG,Unqualified,1
LXS GY Equity,#N/A N/A,PRICEWATERHOUSECOOPERS GMBH,Unqualified,1
BDEV LN Equity,13,DELOITTE,Unqualified,1
BKG LN Equity,6,KPMG LLP,Unqualified,1
INCH LN Equity,1,DELOITTE & TOUCHE LLP,Unqualified,1
KGF LN Equity,10,Deloitte LLP,Unqualified,1
SALM NO Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
MKS LN Equity,5,DELOITTE,Unqualified,1
NXT LN Equity,3,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
PSON LN Equity,23,PRICEWATERHOUSECOOPERS LLP,Unqualified,1
PSN LN Equity,3,ERNST & YOUNG LLP,Unqualified,1
REL LN Equity,3,ERNST & YOUNG LLP,Unqualified,1
TW/ LN Equity,#N/A N/A,Deloitte LLP,Unqualified,1
ALC SE Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,#N/A N/A
WTB LN Equity,4,Deloitte LLP,Unqualified,9
WPP LN Equity,17,Deloitte LLP,Unqualified,1
BKIA SQ Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
AC FP Equity,24,DELOITTE,Unqualified,5
CDI FP Equity,#N/A N/A,MAZARS,Unqualified,5
VIV FP Equity,#N/A N/A,DELOITTE & ASSOC,Unqualified,1
EO FP Equity,#N/A N/A,MAZARS,#N/A Field Not Applicable,5
SN/ LN Equity,4,KPMG LLP,Unqualified,1
MC FP Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
ML FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
COLOB DC Equity,22,PRICEWATERHOUSE COOPERS,Unqualified,1
RACE IM Equity,4,ERNST & YOUNG LLP,Unqualified,1
MMB FP Equity,#N/A N/A,ERNST & YOUNG,Not audited,5
KER FP Equity,#N/A N/A,KPMG,Unqualified,9
UG FP Equity,#N/A N/A,MAZARS,Unqualified,1
PUB FP Equity,#N/A N/A,MAZARS,Unqualified,1
TOP DC Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
RNO FP Equity,#N/A N/A,KPMG,Unqualified,1
SK FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
GN DC Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
SW FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Not audited,1
FR FP Equity,9,MAZARS,Unqualified,1
ELUXB SS Equity,1,DELOITTE,Unqualified,1
URW NA Equity,14,DELOITTE & ASSOC,Unqualified,1
CTEC LN Equity,3,Deloitte LLP,Unqualified,1
WKL NA Equity,#N/A N/A,DELOITTE,Not audited,1
PAH3 GY Equity,35,ERNST & YOUNG,Unqualified,5
EKTAB SS Equity,8,PRICEWATERHOUSE COOPERS,Unqualified,1
HMB SS Equity,25,ERNST & YOUNG AB,Qualified: uncertainty,1
RHM GY Equity,92,PRICEWATERHOUSE COOPERS,Unqualified,1
DEMANT DC Equity,22,DELOITTE,Unqualified,1
TEP FP Equity,8,KPMG,Unqualified,5
SCHA NO Equity,#N/A N/A,ERNST & YOUNG AS,Not audited,1
NG/ LN Equity,2,Deloitte LLP,Unqualified,1
PUM GY Equity,7,DELOITTE,Unqualified,1
TELIA SS Equity,5,DELOITTE,Unqualified,10
RMS FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Not audited,5
TEL NO Equity,#N/A N/A,ERNST & YOUNG AS,Qualified: uncertainty,1
TYRES FH Equity,#N/A N/A,KPMG OY AB,Unqualified,5
ETL FP Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
ELISA FH Equity,15,KPMG OY AB,Unqualified,1
PSM GY Equity,#N/A N/A,KPMG AG,Not audited,1
ITX SQ Equity,#N/A N/A,DELOITTE,Unqualified,1
HUSQB SS Equity,5,ERNST & YOUNG AB,Not audited,1
INF LN Equity,15,Deloitte LLP,Unqualified,9
DEC FP Equity,19,KPMG AUDIT,Not audited,1
SESG FP Equity,#N/A N/A,PWC,Unqualified,1
GSK LN Equity,1,Deloitte LLP,Unqualified,1
TNET BB Equity,#N/A N/A,KPMG,Unqualified,1
IHG LN Equity,16,ERNST & YOUNG LLP,Not audited,1
CCL LN Equity,16,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
ADM LN Equity,3,Deloitte LLP,Unqualified,1
BRBY LN Equity,#N/A N/A,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
FLTR ID Equity,#N/A N/A,KPMG,Unqualified,1
ORNBV FH Equity,1,KPMG,Unqualified,1
CPG LN Equity,5,KPMG LLP,Not audited,1
GLPG NA Equity,19,DELOITTE,Unqualified,1
OSR GY Equity,7,ERNST & YOUNG,Not audited,1
DOM SS Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
ITV LN Equity,15,KPMG LLP,Unqualified,1
ICA SS Equity,2,KPMG,Not audited,1
HIK LN Equity,3,PRICEWATERHOUSE COOPERS,Unqualified,1
AZN LN Equity,2,PRICEWATERHOUSECOOPERS LLP,Unqualified,1
AHT LN Equity,16,Deloitte LLP,Unqualified,1
ABF LN Equity,4,BLANK COMPANY:1634,Unqualified,1
GLB ID Equity,3,Deloitte LLP,Unqualified,1
RMV LN Equity,19,KPMG,Unqualified,1
BBY LN Equity,3,KPMG,Unqualified,1
PNDORA DC Equity,8,ERNST & YOUNG,Unqualified,1
BNZL LN Equity,5,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
CPI LN Equity,5,KPMG LLP,Unqualified,1
LUN DC Equity,#N/A N/A,DELOITTE,Unqualified,10
CBG LN Equity,2,PRICEWATERHOUSECOOPERS LLP,Unqualified,1
JE/ LN Equity,10,Deloitte LLP,Unqualified,1
CRDA LN Equity,1,KPMG,Unqualified,1
GALE SE Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
UN01 GY Equity,3,PRICEWATERHOUSE COOPERS,Unqualified,1
BWY LN Equity,40,KPMG LLP,Not audited,1
ECM LN Equity,5,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
COB LN Equity,45,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
DGE LN Equity,5,PRICEWATERHOUSECOOPERS LLP,Unqualified,9
HLMA LN Equity,2,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
HSBA LN Equity,4,PRICE WATERHOUSE LLP,Unqualified,10
IMI LN Equity,10,ERNST & YOUNG LLP,Unqualified,1
HSX LN Equity,3,PRICEWATERHOUSE COOPERS,Unqualified,1
UBI FP Equity,#N/A N/A,KPMG,Unqualified,1
MGGT LN Equity,16,PRICEWATERHOUSECOOPERS LLP,Unqualified,1
LIGHT NA Equity,3,ERNST & YOUNG LLP,Unqualified,5
HWDN LN Equity,17,DELOITTE & TOUCHE LLP,Unqualified,1
MRW LN Equity,5,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
VOD LN Equity,5,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
UU/ LN Equity,8,KPMG LLP,Unqualified,1
BARC LN Equity,2,KPMG LLP,Unqualified,10
RTO LN Equity,10,KPMG LLP,Unqualified,1
RBS LN Equity,3,ERNST & YOUNG LLP,Unqualified,10
FTI FP Equity,2,PRICEWATERHOUSE COOPERS LLP,Unqualified,10
GMAB DC Equity,#N/A N/A,PRICEWATERHOUSECOOPERS,Unqualified,1
UDG LN Equity,2,ERNST & YOUNG,Unqualified,1
SGRO LN Equity,3,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
TATE LN Equity,2,ERNST & YOUNG LLP,Unqualified,1
SBRY LN Equity,4,ERNST & YOUNG LLP,Unqualified,1
JD/ LN Equity,24,KPMG LLP,Unqualified,9
GLE FP Equity,#N/A N/A,ERNST & YOUNG,Not audited,1
EXO IM Equity,8,ERNST & YOUNG SPA,Unqualified,1
SDR LN Equity,1,BLANK COMPANY:1634,Unqualified,1
BKT SQ Equity,#N/A N/A,PWC,Unqualified,1
LDO IM Equity,7,KPMG SPA,Unqualified,5
SMIN LN Equity,23,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
HSV LN Equity,18,Deloitte LLP,Unqualified,1
PNN LN Equity,5,ERNST & YOUNG LLP,Unqualified,1
STAN LN Equity,#N/A N/A,KPMG LLP,Unqualified,10
RSA LN Equity,6,KPMG LLP,Unqualified,1
TSCO LN Equity,4,Deloitte LLP,Unqualified,10
PIRC IM Equity,#N/A N/A,PWC,Unqualified,1
STERV FH Equity,#N/A N/A,PRICEWATERHOUSECOOPERS OY,Unqualified,1
SGE LN Equity,4,ERNST & YOUNG LLP,Unqualified,9
SLA LN Equity,#N/A N/A,KPMG LLP,Unqualified,1
TPK LN Equity,4,KPMG LLP,Not audited,1
SAB SQ Equity,#N/A N/A,PWC,Unqualified,1
LLOY LN Equity,24,PRICEWATERHOUSECOOPERS LLP,Unqualified,1
VWS DC Equity,21,PRICEWATERHOUSE COOPERS,Not audited,1
TLW LN Equity,15,Deloitte LLP,Unqualified,1
DLG LN Equity,19,Deloitte LLP,Not audited,1
RRTL GY Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
ACA FP Equity,#N/A N/A,PRICEWATERHOUSECOOPERS,Unqualified,1
MRO LN Equity,16,Deloitte LLP,Unqualified,1
BAMI IM Equity,#N/A N/A,PWC,Unqualified,1
RBI AV Equity,14,KPMG AG,Unqualified,10
GRG LN Equity,#N/A N/A,KPMG LLP,Unqualified,1
IAG LN Equity,9,ERNST & YOUNG,Unqualified,9
BP/ LN Equity,110,N/A,Unqualified,1
GRF SQ Equity,#N/A N/A,KPMG,Unqualified,1
BT/A LN Equity,1,KPMG LLP,Unqualified,9
VNA GY Equity,#N/A N/A,KPMG AG,Unqualified,1
